field_name	field_location	data_type	units	field_description	allowable_enumeration
out.params.hp_water_heater_0_to_40_gal_count	metadata	float		individual equipment in this range	""
out.params.hp_water_heater_0_to_40_gal_total_volume	metadata	float	gal	combined volume of heat pump water heaters in this volume range	""
out.params.hp_water_heater_40_to_65_gal_capacity	metadata	float	w	individual equipment in this range	""
out.params.hp_water_heater_40_to_65_gal_cop	metadata	float	cop	individual equipment in this range	""
out.params.hp_water_heater_40_to_65_gal_count	metadata	float		individual equipment in this range	""
out.params.hp_water_heater_40_to_65_gal_total_volume	metadata	float	gal	combined volume of heat pump water heaters in this volume range	""
out.params.hp_water_heater_65_to_90_gal_capacity	metadata	float	w	individual equipment in this range	""
out.params.hp_water_heater_65_to_90_gal_cop	metadata	float	cop	individual equipment in this range	""
out.params.hp_water_heater_65_to_90_gal_count	metadata	float		individual equipment in this range	""
out.params.hp_water_heater_65_to_90_gal_total_volume	metadata	float	gal	combined volume of heat pump water heaters in this volume range	""
out.params.hp_water_heater_90_plus_capacity	metadata	float	w	individual equipment in this range	""
out.params.hp_water_heater_90_plus_gal_cop	metadata	float	cop	individual equipment in this range	""
out.params.hp_water_heater_90_plus_gal_count	metadata	float		individual equipment in this range	""
out.params.hp_water_heater_90_plus_gal_total_volume	metadata	float	gal	combined volume of heat pump water heaters in this volume range	""
out.params.hp_water_heater_backup_electric	metadata	float	j	energy input to tank	""
out.params.hp_water_heater_capacity	metadata	float	w	combined heat pump water heater capacity, excluding backup coils	""
out.params.hp_water_heater_cop	metadata	float	cop	average heat pump water heater cop, including backup coils	""
out.params.hp_water_heater_count	metadata	float		number of heat pump water heaters	""
out.params.hp_water_heater_heat_pump_electric	metadata	float	j	energy input to heat pump	""
out.params.hp_water_heater_heat_pump_output	metadata	float	j	energy delivered by heat pump	""
out.params.hp_water_heater_tank_output	metadata	float	j	energy delivered by tank	""
out.params.hp_water_heater_total_electric	metadata	float	j	energy input to heat pump and tank	""
out.params.hp_water_heater_total_output	metadata	float	j	energy delivered by heat pump and energy required to maintain setpoint	""
out.params.hp_water_heater_total_volume	metadata	float	gal	combined volume of heat pump water heaters	""
out.params.hp_water_heater_unmet_heat_transfer_demand	metadata	float	j	heat pump water heater tank unmet heat transfer demand	""
out.params.hvac_count_boilers	metadata	float		Count of boilers	""
out.params.hvac_count_boilers_0_to_300_kbtuh	metadata	float		Count of boilers in size range	""
out.params.hvac_count_boilers_2500_plus_kbtuh	metadata	float		Count of boilers in size range	""
out.params.hvac_count_boilers_300_to_2500_kbtuh	metadata	float		Count of boilers in size range	""
out.params.hvac_count_chillers_0_to_75_tons	metadata	float		Count of chillers in size range	""
out.params.hvac_count_chillers_150_to_300_tons	metadata	float		Count of chillers in size range	""
out.params.hvac_count_chillers_300_to_600_tons	metadata	float		Count of chillers in size range	""
out.params.hvac_count_chillers_600_plus_tons	metadata	float		Count of chillers in size range	""
out.params.hvac_count_chillers_75_to_150_tons	metadata	float		Count of chillers in size range	""
out.params.hvac_count_dx_cooling_0_to_30_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_cooling_135_to_240_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_cooling_240_to_760_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_cooling_30_to_65_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_cooling_65_to_135_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_cooling_760_plus_kbtuh	metadata	float		Count of dx cooling equipment in size range	""
out.params.hvac_count_dx_heating_0_to_30_kbtuh	metadata	float		Count of dx heating equipment in size range	""
out.params.hvac_count_dx_heating_135_to_240_kbtuh	metadata	float		Count of dx heating equipment in size range	""
out.params.hvac_count_dx_heating_240_plus_kbtuh	metadata	float		Count of dx heating equipment in size range	""
out.params.hvac_count_dx_heating_30_to_65_kbtuh	metadata	float		Count of dx heating equipment in size range	""
out.params.hvac_count_dx_heating_65_to_135_kbtuh	metadata	float		Count of dx heating equipment in size range	""
out.params.hvac_count_furnace_0_to_30_kbtuh	metadata	float		Count of furnace equipment in size range	""
out.params.hvac_count_furnace_135_to_240_kbtuh	metadata	float		Count of furnace equipment in size range	""
out.params.hvac_count_furnace_240_plus_kbtuh	metadata	float		Count of furnace equipment in size range	""
out.params.hvac_count_furnace_30_to_65_kbtuh	metadata	float		Count of furnace equipment in size range	""
out.params.hvac_count_furnace_65_to_135_kbtuh	metadata	float		Count of furnace equipment in size range	""
out.params.hvac_count_heat_pumps_cooling	metadata	float		number of heat pumps for cooling	""
out.params.hvac_count_heat_pumps_heating	metadata	float		number of heat pumps for heating	""
out.params.hvac_count_heat_pumps_heating_0_to_300_kbtuh	metadata	float		individual equipment in this range	""
out.params.hvac_count_heat_pumps_heating_2500_plus_kbtuh	metadata	float		individual equipment in this range	""
out.params.hvac_count_heat_pumps_heating_300_to_2500_kbtuh	metadata	float		individual equipment in this range	""
out.params.interior_electric_equipment_eflh	metadata	float	hr	Annual interior electric equipment effective full load hours	""
out.params.interior_electric_equipment_power_density	metadata	float	w_per_ft2	Interior electric equipment power density	""
out.params.interior_lighting_eflh	metadata	float	hr	Annual interior lighting effective full load hours	""
out.params.interior_lighting_power_density	metadata	float	w_per_ft2	Interior interior lighting power density	""
out.params.internal_mass_area_ratio	metadata	float		Ratio of internal mass to floor area	""
out.params.non_hp_water_heater_0_to_40_gal_count	metadata	float		individual equipment in this range	""
out.params.non_hp_water_heater_0_to_40_gal_total_volume	metadata	float	gal	combined volume of water heaters in this volume range	""
out.params.non_hp_water_heater_40_to_65_gal_count	metadata	float		individual equipment in this range	""
out.params.non_hp_water_heater_40_to_65_gal_total_volume	metadata	float	gal	combined volume of water heaters in this volume range	""
out.params.non_hp_water_heater_65_to_90_gal_count	metadata	float		individual equipment in this range	""
out.params.non_hp_water_heater_65_to_90_gal_total_volume	metadata	float	gal	combined volume of water heaters in this volume range	""
out.params.non_hp_water_heater_90_plus_gal_count	metadata	float		individual equipment in this range	""
out.params.non_hp_water_heater_90_plus_gal_total_volume	metadata	float	gal	combined volume of water heaters in this volume range	""
out.params.non_hp_water_heater_count	metadata	float		number of water heaters, excluding heat pump water heaters	""
out.params.non_hp_water_heater_electric	metadata	float	j	electric energy use by non-heat pump water heaters	""
out.params.non_hp_water_heater_gas	metadata	float	j	gas energy use by non-heat pump water heaters	""
out.params.non_hp_water_heater_other_fuel	metadata	float	j	other fuel energy use by non-heat pump water heaters	""
out.params.non_hp_water_heater_total_volume_gal	metadata	float	gal	combined volume of water heaters	""
out.params.non_hp_water_heater_unmet_heat_transfer_demand	metadata	float	j	water heater unmet heat transfer demand	""
out.params.num_air_loops	metadata	float		number of air loops in the model	""
out.params.num_air_loops_dcv	metadata	float		number of air loops in the model with dcv	""
out.params.num_air_loops_economizer	metadata	float		number of air loops in the model with economizer	""
out.params.num_air_loops_heat_recovery	metadata	float		number of air loops in the model with heat recovery	""
out.params.num_broilers	metadata	float		Number of cooking broilers	""
out.params.num_errors	metadata	float		Count of model EnergyPlus errors	""
out.params.num_fryers	metadata	float		Number of cooking fryers	""
out.params.num_griddles	metadata	float		Number of cooking griddles	""
out.params.num_ovens	metadata	float		Number of cooking ovens	""
out.params.num_ranges	metadata	float		Number of cooking ranges	""
out.params.num_steamers	metadata	float		Number of cooking steamers	""
out.params.num_warnings	metadata	float		Count of model EnergyPlus warnings	""
out.params.number_of_spaces	metadata	integer		Number of Space objects in the building energy model	""
out.params.number_of_surfaces	metadata	integer		Number of Surface objects in the building energy model	""
out.params.number_of_zones	metadata	integer		Number of ThermalZone objects in the building energy model	""
out.params.occupant_density_ppl_per_m_2	metadata	float	people_per_m2	Occupant density, people per unit area	""
out.params.occupant_eflh	metadata	float	hr	Effective full load hours of occupants	""
out.params.oven_fuel_type	metadata	string		Fuel type of oven	Electric|Gas
out.params.range_fuel_type	metadata	string		Fuel type of ranges	Electric|Gas
out.params.smallest_space_floor_area	metadata	float	m2	Smallest Space by floor area in the building energy model	""
out.params.steamer_fuel_type	metadata	string		Fuel type of steamers	Electric|Gas
out.params.vrf_area_average_indoor_unit_cooling_capacity	metadata	float	w	average cooling capacity of VRF indoor units, weighted by area served	""
out.params.vrf_area_average_indoor_unit_heating_capacity	metadata	float	w	average heating capacity of VRF indoor units, weighted by area served	""
out.params.vrf_average_line_height	metadata	float	m	average line height of VRF systems, weighted by area served	""
out.params.vrf_average_line_length	metadata	float	m	average line length of VRF systems, weighted by area served	""
out.params.vrf_average_num_compressors	metadata	float		average number of compressors per outdoor unit, weighted by area served	""
out.params.vrf_average_outdoor_unit_cooling_capacity	metadata	float	w	average cooling capacity of VRF outdoor units, weighted by area served	""
out.params.vrf_average_outdoor_unit_heating_capacity	metadata	float	w	average heating capacity of VRF outdoor units, weighted by area served	""
out.params.vrf_cooling_average_cop	metadata	float		annual average COP of VRF cooling equipment, weighted by load	""
out.params.vrf_cooling_design_cop	metadata	float		design COP of VRF cooling equipment, weighted by load	""
out.params.vrf_cooling_design_cop_110f	metadata	float		design COP of VRF cooling equipment at 110F, weighted by load	""
out.params.vrf_cooling_design_cop_35f	metadata	float		design COP of VRF cooling equipment at 35F, weighted by load	""
out.params.vrf_cooling_design_cop_60f	metadata	float		design COP of VRF cooling equipment at 60F, weighted by load	""
out.params.vrf_cooling_design_cop_85f	metadata	float		design COP of VRF cooling equipment at 185F, weighted by load	""
out.params.vrf_heating_average_cop	metadata	float		annual average COP of VRF heating equipment, weighted by load	""
out.params.vrf_heating_average_total_cop	metadata	float		annual average COP of VRF heating equipment including defrost energy and crankcase heating, weighted by total VRF heating load	""
out.params.vrf_heating_design_cop	metadata	float		design COP of VRF heating equipment, weighted by load	""
out.params.vrf_heating_design_cop_0f	metadata	float		design COP of VRF heating equipment at 0F, weighted by load	""
out.params.vrf_heating_design_cop_20f	metadata	float		design COP of VRF heating equipment at 20F, weighted by load	""
out.params.vrf_heating_design_cop_40f	metadata	float		design COP of VRF heating equipment at 40F, weighted by load	""
out.params.vrf_heating_design_cop_minus22f	metadata	float		design COP of VRF heating equipment at -22F, weighted by load	""
out.params.vrf_heating_fraction_supplemental	metadata	float		fraction of total heating load supplied by VRF heating equipment supplemental coils	""
out.params.vrf_heating_total_supplemental_electric	metadata	float	j	total VRF heating equipment supplemental coil electric use	""
out.params.vrf_heating_total_supplemental_gas	metadata	float	j	total VRF heating equipment supplemental coil gas use	""
out.params.vrf_heating_total_supplemental_load	metadata	float	j	total heating load supplied by VRF heating equipment supplemental coils	""
out.params.vrf_heating_total_supplemental_load_electric	metadata	float	j	total heating load supplied by VRF heating equipment supplemental electric coils	""
out.params.vrf_heating_total_supplemental_load_gas	metadata	float	j	total heating load supplied by VRF heating equipment supplemental gas coils	""
out.params.vrf_indoor_unit_count	metadata	float		number of VRF indoor units	""
out.params.vrf_outdoor_unit_count	metadata	float		number of VRF outdoor units	""
out.params.vrf_temperature_type	metadata	string		outdoor temperature type used for VRF heating eir performance curves, either drybulb or wetbulb	WetBulbTemperature
out.params.vrf_total_cooling_load	metadata	float	j	total cooling load served by VRF equipment	""
out.params.vrf_total_heat_recovery	metadata	float	j	total heat recovery of VRF equipment	""
out.params.vrf_total_heating_load	metadata	float	j	total heating load served by VRF equipment	""
out.params.vrf_total_indoor_unit_cooling_capacity	metadata	float	w	combined cooling capacity of VRF indoor units	""
out.params.vrf_total_indoor_unit_heating_capacity	metadata	float	w	combined heating capacity of VRF indoor units	""
out.params.vrf_total_outdoor_unit_cooling_capacity	metadata	float	w	combined cooling capacity of VRF outdoor units	""
out.params.vrf_total_outdoor_unit_heating_capacity	metadata	float	w	combined heating capacity of VRF outdoor units	""
out.params.wa_hp_cooling_average_cop	metadata	float	cop	water to air heat pump annual average cooling COP, weighted by load	""
out.params.wa_hp_cooling_capacity	metadata	float	w	sum of water to air heat pump cooling capacity	""
out.params.wa_hp_cooling_design_cop	metadata	float	cop	water to air heat pump average design cooling COP, weighted by load	""
out.params.wa_hp_cooling_electric	metadata	float	j	total water to air heat pump cooling electric use	""
out.params.wa_hp_cooling_load	metadata	float	j	total water to air heat pump cooling load served	""
out.params.wa_hp_heating_average_cop	metadata	float	cop	water to air heat pump annual average heating COP, weighted by load	""
out.params.wa_hp_heating_capacity	metadata	float	w	sum of water to air heat pump heating capacity	""
out.params.wa_hp_heating_design_cop	metadata	float	cop	water to air heat pump average design heating COP, weighted by load	""
out.params.wa_hp_heating_electric	metadata	float	j	total water to air heat pump heating electric use	""
out.params.wa_hp_heating_load	metadata	float	j	total water to air heat pump heating load served	""
out.params.window_to_wall_ratio	metadata	float		Ratio of window area to exterior facade area	""
out.params.zone_hvac_fan_power_minimum_flow_fraction	metadata	float		Fan power minimum flow fraction for zone hvac equipment	""
out.params.zone_hvac_fan_static_pressure	metadata	float	inwc	Fan static pressure in pascals for zone hvac equipment	""
out.params.zone_hvac_fan_total_efficiency	metadata	float		Fan total efficiency for zone hvac equipment	""
calc.emissions.total_with_cambium_mid_case_15y	metadata	float	co2e_kg	Annual greenhouse gas emissions from all energy consumption using Cambium 2022 lrmer_mid_case_30 levelized over 15 years starting in 2025 for electricity emissions	""
calc.emissions.total_with_egrid	metadata	float	co2e_kg	Annual greenhouse gas emissions from all energy consumption using egrid 2021 for electricity emissions	""
calc.enduse_group.district_cooling.hvac.energy_consumption	metadata	float	kwh	District cooling energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.district_heating.hvac.energy_consumption	metadata	float	kwh	District heating energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.district_heating.water_systems.energy_consumption	metadata	float	kwh	District heating energy consumption for the water_systems end use	""
calc.enduse_group.electricity.hvac.energy_consumption	metadata	float	kwh	Electricity energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.electricity.interior_equipment.energy_consumption	metadata	float	kwh	Electricity energy consumption for the interior_equipment end use	""
calc.enduse_group.electricity.lighting.energy_consumption	metadata	float	kwh	Electricity energy consumption for the interior_lighting and exterior_lighting end uses	""
calc.enduse_group.electricity.refrigeration.energy_consumption	metadata	float	kwh	Electricity energy consumption for the refrigeration end use	""
calc.enduse_group.electricity.water_systems.energy_consumption	metadata	float	kwh	Electricity energy consumption for the water_systems end use	""
calc.enduse_group.natural_gas.hvac.energy_consumption	metadata	float	kwh	Natural gas energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.natural_gas.interior_equipment.energy_consumption	metadata	float	kwh	Natural gas energy consumption for the interior_equipment end use	""
calc.enduse_group.natural_gas.water_systems.energy_consumption	metadata	float	kwh	Natural gas energy consumption for the water_systems end use	""
calc.enduse_group.other_fuel.hvac.energy_consumption	metadata	float	kwh	Fuel oil and propane energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.other_fuel.interior_equipment.energy_consumption	metadata	float	kwh	Fuel oil and propane energy consumption for the interior_equipment end use	""
calc.enduse_group.other_fuel.water_systems.energy_consumption	metadata	float	kwh	Fuel oil and propane energy consumption for the water_systems end use	""
calc.enduse_group.site_energy.cooling.energy_consumption	metadata	float	kwh	Total energy consumption for the cooling end use	""
calc.enduse_group.site_energy.heating.energy_consumption	metadata	float	kwh	Total energy consumption for the heating end use	""
calc.enduse_group.site_energy.hvac.energy_consumption	metadata	float	kwh	Total energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.enduse_group.site_energy.interior_equipment.energy_consumption	metadata	float	kwh	Total energy consumption for the interior_equipment end use	""
calc.enduse_group.site_energy.lighting.energy_consumption	metadata	float	kwh	Total energy consumption for the interior_lighting and exterior_lighting end uses	""
calc.enduse_group.site_energy.refrigeration.energy_consumption	metadata	float	kwh	Total energy consumption for the refrigeration end use	""
calc.enduse_group.site_energy.water_systems.energy_consumption	metadata	float	kwh	Total energy consumption for the water_systems end use	""
calc.percent_savings.district_cooling.cooling.energy_consumption	metadata	float	percent	Fractional savings in district cooling energy for the cooling end use	""
calc.percent_savings.district_cooling.cooling.energy_consumption_intensity	metadata	float	percent	Fractional savings in district cooling energy for the cooling end use on a per area basis	""
calc.percent_savings.district_cooling.total.energy_consumption	metadata	float	percent	Fractional savings in district cooling energy for the total end use	""
calc.percent_savings.district_cooling.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in district cooling energy for the total end use on a per area basis	""
calc.percent_savings.district_heating.cooling.energy_consumption	metadata	float	percent	Fractional savings in district heating energy for the cooling end use	""
calc.percent_savings.district_heating.cooling.energy_consumption_intensity	metadata	float	percent	Fractional savings in district heating energy for the cooling end use on a per area basis	""
calc.percent_savings.district_heating.heating.energy_consumption	metadata	float	percent	Fractional savings in district heating energy for the heating end use	""
calc.percent_savings.district_heating.heating.energy_consumption_intensity	metadata	float	percent	Fractional savings in district heating energy for the heating end use on a per area basis	""
calc.percent_savings.district_heating.total.energy_consumption	metadata	float	percent	Fractional savings in district heating energy for the total end use	""
calc.percent_savings.district_heating.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in district heating energy for the total end use on a per area basis	""
calc.percent_savings.district_heating.water_systems.energy_consumption	metadata	float	percent	Fractional savings in district heating energy for the water systems end use	""
calc.percent_savings.district_heating.water_systems.energy_consumption_intensity	metadata	float	percent	Fractional savings in district heating energy for the water systems end use on a per area basis	""
calc.percent_savings.electricity.cooling.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the cooling end use	""
calc.percent_savings.electricity.cooling.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the cooling end use on a per area basis	""
calc.percent_savings.electricity.exterior_lighting.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the exterior lighting end use	""
calc.percent_savings.electricity.exterior_lighting.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the exterior lighting end use on a per area basis	""
calc.percent_savings.electricity.fans.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the fans end use	""
calc.percent_savings.electricity.fans.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the fans end use on a per area basis	""
calc.percent_savings.electricity.heat_recovery.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the heat recovery end use	""
calc.percent_savings.electricity.heat_recovery.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the heat recovery end use on a per area basis	""
calc.percent_savings.electricity.heat_rejection.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the heat rejection end use	""
calc.percent_savings.electricity.heat_rejection.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the heat rejection end use on a per area basis	""
calc.percent_savings.electricity.heating.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the heating end use	""
calc.percent_savings.electricity.heating.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the heating end use on a per area basis	""
calc.percent_savings.electricity.interior_equipment.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the interior equipment end use	""
calc.percent_savings.electricity.interior_equipment.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the interior equipment end use on a per area basis	""
calc.percent_savings.electricity.interior_lighting.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the interior lighting end use	""
calc.percent_savings.electricity.interior_lighting.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the interior lighting end use on a per area basis	""
calc.percent_savings.electricity.pumps.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the pumps end use	""
calc.percent_savings.electricity.pumps.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the pumps end use on a per area basis	""
calc.percent_savings.electricity.refrigeration.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the refrigeration end use	""
calc.percent_savings.electricity.refrigeration.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the refrigeration end use on a per area basis	""
calc.percent_savings.electricity.total.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the total end use	""
calc.percent_savings.electricity.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the total end use on a per area basis	""
calc.percent_savings.electricity.water_systems.energy_consumption	metadata	float	percent	Fractional savings in electricity energy for the water systems end use	""
calc.percent_savings.electricity.water_systems.energy_consumption_intensity	metadata	float	percent	Fractional savings in electricity energy for the water systems end use on a per area basis	""
calc.percent_savings.natural_gas.cooling.energy_consumption	metadata	float	percent	Fractional savings in natural gas energy for the cooling end use	""
calc.percent_savings.natural_gas.cooling.energy_consumption_intensity	metadata	float	percent	Fractional savings in natural gas energy for the cooling end use on a per area basis	""
calc.percent_savings.natural_gas.heating.energy_consumption	metadata	float	percent	Fractional savings in natural gas energy for the heating end use	""
calc.percent_savings.natural_gas.heating.energy_consumption_intensity	metadata	float	percent	Fractional savings in natural gas energy for the heating end use on a per area basis	""
calc.percent_savings.natural_gas.interior_equipment.energy_consumption	metadata	float	percent	Fractional savings in natural gas energy for the interior equipment end use	""
calc.percent_savings.natural_gas.interior_equipment.energy_consumption_intensity	metadata	float	percent	Fractional savings in natural gas energy for the interior equipment end use on a per area basis	""
calc.percent_savings.natural_gas.total.energy_consumption	metadata	float	percent	Fractional savings in natural gas energy for the total end use	""
calc.percent_savings.natural_gas.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in natural gas energy for the total end use on a per area basis	""
calc.percent_savings.natural_gas.water_systems.energy_consumption	metadata	float	percent	Fractional savings in natural gas energy for the water systems end use	""
calc.percent_savings.natural_gas.water_systems.energy_consumption_intensity	metadata	float	percent	Fractional savings in natural gas energy for the water systems end use on a per area basis	""
calc.percent_savings.other_fuel.cooling.energy_consumption	metadata	float	percent	Fractional savings in fuel oil and propane energy for the cooling end use	""
calc.percent_savings.other_fuel.cooling.energy_consumption_intensity	metadata	float	percent	Fractional savings in fuel oil and propane energy for the cooling end use on a per area basis	""
calc.percent_savings.other_fuel.heating.energy_consumption	metadata	float	percent	Fractional savings in fuel oil and propane energy for the heating end use	""
calc.percent_savings.other_fuel.heating.energy_consumption_intensity	metadata	float	percent	Fractional savings in fuel oil and propane energy for the heating end use on a per area basis	""
calc.percent_savings.other_fuel.interior_equipment.energy_consumption	metadata	float	percent	Fractional savings in fuel oil and propane energy for the interior equipment end use	""
calc.percent_savings.other_fuel.interior_equipment.energy_consumption_intensity	metadata	float	percent	Fractional savings in fuel oil and propane energy for the interior equipment end use on a per area basis	""
calc.percent_savings.other_fuel.total.energy_consumption	metadata	float	percent	Fractional savings in fuel oil and propane energy for the total end use	""
calc.percent_savings.other_fuel.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in fuel oil and propane energy for the total end use on a per area basis	""
calc.percent_savings.other_fuel.water_systems.energy_consumption	metadata	float	percent	Fractional savings in fuel oil and propane energy for the water systems end use	""
calc.percent_savings.other_fuel.water_systems.energy_consumption_intensity	metadata	float	percent	Fractional savings in fuel oil and propane energy for the water systems end use on a per area basis	""
calc.percent_savings.site_energy.total.energy_consumption	metadata	float	percent	Fractional savings in total energy	""
calc.percent_savings.site_energy.total.energy_consumption_intensity	metadata	float	percent	Fractional savings in total energy on a per area basis	""
calc.segment	metadata	string		A building categorization based on common characteristics instead of traditional building type	B: Food-Service Buildings with Small Packaged Units|A: Non Food-Service Buildings with Small Packaged Units|F: Buildings with Electric Resistance Multizone Systems|D: Buildings with Hydronically Heated Multizone Systems|G: Buildings with Furnace-Based Multizone Systems|I: Non-Lodging Buildings with Zone-by-Zone Systems|H: Buildings with Residential Style Central Systems|C: Strip Malls with some Food-Service with Small Packaged Units|E: Lodging with Zone-by-Zone Systems|J: Other
calc.weighted.district_cooling.cooling.energy_consumption	metadata	float	tbtu	Stock total weighted consumption of district cooling energy for the cooling end use	""
calc.weighted.district_cooling.total.energy_consumption	metadata	float	tbtu	Stock total consumption of district cooling energy for all end uses	""
calc.weighted.district_heating.cooling.energy_consumption	metadata	float	tbtu	Stock total consumption of district heating energy for the cooling end use	""
calc.weighted.district_heating.heating.energy_consumption	metadata	float	tbtu	Stock total consumption of district heating energy for the heating end use	""
calc.weighted.district_heating.total.energy_consumption	metadata	float	tbtu	Stock total consumption of district heating energy for all end uses	""
calc.weighted.district_heating.water_systems.energy_consumption	metadata	float	tbtu	Stock total consumption of district heating energy for the water systems end use	""
calc.weighted.electricity.cooling.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the cooling end use	""
calc.weighted.electricity.exterior_lighting.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the exterior lighting end use	""
calc.weighted.electricity.fans.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the fans end use	""
calc.weighted.electricity.heat_recovery.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the heat recovery end use	""
calc.weighted.electricity.heat_rejection.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the heat rejection end use	""
calc.weighted.electricity.heating.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the heating end use	""
calc.weighted.electricity.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the interior equipment end use	""
calc.weighted.electricity.interior_lighting.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the interior lighting end use	""
calc.weighted.electricity.pumps.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the pumps end use	""
calc.weighted.electricity.refrigeration.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the refrigeration end use	""
calc.weighted.electricity.total.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for all end uses	""
calc.weighted.electricity.water_systems.energy_consumption	metadata	float	tbtu	Stock total consumption of electricity energy for the water systems end use	""
calc.weighted.emissions.electricity.egrid_2021_subregion	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from electricityusing egrid 2020 subregion emissions intensity	""
calc.weighted.emissions.electricity.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from electricity using Cambium 2022 lrmer_high_re_cost_15 levelized over 15 years starting in 2023	""
calc.weighted.emissions.electricity.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from electricity using Cambium 2022 lrmer_low_re_cost_15 levelized over 25 years starting in 2025	""
calc.weighted.emissions.fuel_oil	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from fuel oil use	""
calc.weighted.emissions.natural_gas	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from natural gas use	""
calc.weighted.emissions.propane	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from propane use	""
calc.weighted.emissions.total_with_cambium_mid_case_15y	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from all energy consumption using Cambium 2022 lrmer_mid_case_30 levelized over 15 years starting in 2025 for electricity emissions	""
calc.weighted.emissions.total_with_egrid	metadata	float	co2e_mmt	Stock total annual greenhouse gas emissions from all energy consumption using egrid 2021 for electricity emissions	""
calc.weighted.enduse_group.district_cooling.hvac.energy_consumption	metadata	float	tbtu	Stock total district cooling energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.weighted.enduse_group.district_heating.hvac.energy_consumption	metadata	float	tbtu	Stock total district heating energy consumption for all HVAC end uses including cooling, fans, heat_recovery, heat_rejection, heating, humidification, and pumps	""
calc.weighted.enduse_group.district_heating.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total district heating energy consumption for the interior_equipment end use	""
calc.weighted.enduse_group.district_heating.water_systems.energy_consumption	metadata	float	tbtu	Stock total district heating energy consumption for the water_systems end use	""
